gpsTime,lat,lon,altitude,speed,bearing,accuracy
1530997872000,40.78558136,-102.36744832,1151.90002441406,1.75,87.6,3
1530997873000,40.78558271,-102.36743169,1152.30004882812,1.75,86,3
1530997874000,40.78558442,-102.36741534,1152.30004882812,1.75,87,3
1530997875000,40.78558622,-102.36739818,1152,1.75,86.5,3
1530997876000,40.78558809,-102.36738046,1152.19995117188,1.75,87.3,3
1530997877000,40.78558898,-102.36736186,1152,1.75,89.3,3
1530997878000,40.78558906,-102.36734346,1152,1.75,91,3
1530997879000,40.78558992,-102.36732469,1152.09997558594,1.75,91.6,3
1530997880000,40.78559065,-102.36730543,1152.69995117188,1.75,92.7,3
1530997881000,40.78559054,-102.36728559,1152.80004882812,1.75,92.5,3
1530997882000,40.7855891,-102.36726558,1153.19995117188,1.75,94,3
1530997883000,40.78558855,-102.36724606,1153.30004882812,1.75,92.7,3
1530997884000,40.78558873,-102.36722747,1153.5,1.75,93.8,3
1530997885000,40.78558766,-102.36720764,1153.80004882812,1.75,94.1,3
1530997886000,40.78558598,-102.36718987,1153.80004882812,1.75,95.2,4
1530997887000,40.78558521,-102.36717221,1153.09997558594,1.75,93.5,4
1530997888000,40.78558568,-102.36715229,1152.90002441406,1.75,90.2,3
1530997889000,40.78558755,-102.36713183,1153.09997558594,1.75,87.4,3
1530997890000,40.78559079,-102.36711211,1153.30004882812,1.75,85.3,3
1530997891000,40.78559401,-102.36709372,1152.90002441406,1.75,85.1,3
1530997892000,40.78559858,-102.36707804,1152.09997558594,1.75,83.8,3
1530997893000,40.78560251,-102.36706038,1152.30004882812,1.75,83.5,3
1530997894000,40.78560568,-102.36704198,1152.19995117188,1.75,84.6,3
1530997895000,40.78560727,-102.36702291,1152.09997558594,1.75,86.4,3
1530997896000,40.78560792,-102.36700519,1152,1.75,87.1,3
1530997897000,40.78560835,-102.36698644,1151.90002441406,1.75,86.5,3
1530997898000,40.78560797,-102.3669686,1151.30004882812,1.75,86.5,3
1530997899000,40.78560676,-102.36695032,1151,1.75,88.2,3
1530997900000,40.78560568,-102.36693172,1150.90002441406,1.75,89.2,3
1530997901000,40.78560415,-102.36691254,1152,1.75,90,3
1530997902000,40.78560183,-102.36689391,1152.09997558594,1.75,91.4,3
1530997903000,40.78560029,-102.36687442,1153,1.75,91.8,3
1530997904000,40.78559927,-102.36685601,1152.69995117188,1.75,91,3
1530997905000,40.78559892,-102.36683914,1152.59997558594,1.75,89.3,3
1530997906000,40.78559859,-102.36682173,1152.90002441406,1.75,88.5,3
1530997907000,40.78559769,-102.3668035,1153.59997558594,1.75,89.1,3
1530997908000,40.78559752,-102.36678579,1153.59997558594,1.75,88.7,3
1530997909000,40.78559791,-102.36676653,1153.80004882812,1.75,88.8,3
1530997910000,40.7855972,-102.36674672,1153.59997558594,1.75,89.5,3
1530997911000,40.78559643,-102.36672798,1153.59997558594,1.75,91.8,3
1530997912000,40.78559707,-102.36671076,1154.5,1.5,91.3,3
1530997913000,40.78559759,-102.36669309,1154.5,1.75,90.6,3
1530997914000,40.78559805,-102.36667428,1154,1.75,89.9,3
1530997915000,40.78559826,-102.36665422,1154.09997558594,1.75,92,3
1530997916000,40.78559759,-102.36663417,1153.80004882812,1.75,92.5,3
1530997917000,40.78559658,-102.36661412,1154.09997558594,1.75,91.1,3
1530997918000,40.78559585,-102.36659404,1154.30004882812,1.75,90.8,3
1530997919000,40.78559618,-102.36657538,1154.5,1.5,87,3
1530997920000,40.78559693,-102.3665562,1155,1.5,87,4
1530997921000,40.78559945,-102.36653861,1154.80004882812,1.5,82.4,4
1530997922000,40.78560031,-102.36652007,1154.59997558594,1.5,85.4,4
1530997923000,40.78559896,-102.36650144,1154.90002441406,1.5,90.4,3
1530997924000,40.78559844,-102.36648323,1154.59997558594,1.5,92.5,3
1530997925000,40.78559809,-102.3664648,1154.59997558594,1.5,91,3
1530997926000,40.78559788,-102.36644702,1154,1.5,90.8,3
1530997927000,40.78559861,-102.36642924,1154.09997558594,1.5,87.1,3
1530997928000,40.78560034,-102.36641021,1154.40002441406,1.5,87.9,3
1530997929000,40.785603,-102.36639173,1154.80004882812,1.5,86.2,3
1530997930000,40.7856059,-102.36637427,1155.59997558594,1.5,88.3,3
1530997931000,40.78560822,-102.36635662,1155.59997558594,1.5,87.9,3
1530997964000,40.78561044,-102.36575654,1154,1.5,92.9,3
1530997965000,40.78560871,-102.36573724,1154,1.5,93.1,3
1530997966000,40.78560685,-102.36571768,1153.5,1.5,93.2,3
1530997967000,40.78560534,-102.36569834,1153.69995117188,1.5,93.3,3
1530997968000,40.78560368,-102.365679,1153.40002441406,1.5,93.4,3
1530997969000,40.78560241,-102.36565985,1153.59997558594,1.5,93.4,3
1530997970000,40.78560129,-102.36564078,1153.5,1.5,93.8,3
1530997971000,40.78560012,-102.36562181,1153.5,1.5,94.3,3
1530997972000,40.78559851,-102.365603,1153.40002441406,1.5,95,3
1530997973000,40.78559682,-102.36558415,1153,1.5,94.8,3
1530997974000,40.78559521,-102.36556516,1153.09997558594,1.5,95,3
1530997975000,40.78559382,-102.36554649,1153.09997558594,1.5,94.6,3
1530997976000,40.78559243,-102.36552768,1152.80004882812,1.5,94.6,3
1530997977000,40.78559172,-102.36550893,1152.90002441406,1.5,93.5,3
1530997978000,40.78559116,-102.36549057,1152.80004882812,1.5,92.7,3
1530997979000,40.78559065,-102.36547263,1152.69995117188,1.5,92.1,3
1530997980000,40.78559023,-102.36545477,1152.59997558594,1.5,91.7,3
1530997981000,40.78558969,-102.36543608,1152.30004882812,1.5,91.5,3
1530997982000,40.78558939,-102.36541741,1152.30004882812,1.5,90.9,3
1530997983000,40.78558898,-102.36539931,1152,1.5,90.3,3
1530997984000,40.78558846,-102.36538125,1151.90002441406,1.5,90.2,3
1530997985000,40.78558817,-102.36536283,1151.90002441406,1.5,90.1,3
1530997986000,40.78558795,-102.36534415,1152,1.5,90.7,3
1530997987000,40.78558746,-102.36532589,1151.90002441406,1.5,90.6,3
1530997988000,40.78558713,-102.36530738,1151.80004882812,1.5,90.8,3
1530997989000,40.78558692,-102.36528857,1151.80004882812,1.5,90.5,3
1530997990000,40.78558694,-102.36526982,1151.80004882812,1.5,90.2,3
1530997991000,40.78558684,-102.36525103,1151.69995117188,1.5,90.2,3
1530997992000,40.78558664,-102.36523212,1151.59997558594,1.5,90.4,3
1530997993000,40.78558634,-102.36521324,1151.5,1.5,90.5,3
1530997994000,40.78558621,-102.36519454,1151.5,1.5,90.3,3
1530997995000,40.78558619,-102.36517604,1151.19995117188,1.5,89.9,3
1530997996000,40.78558629,-102.36515741,1151.30004882812,1.5,89.8,3
1530997997000,40.78558639,-102.36513843,1150.90002441406,1.5,89.4,3
1530997998000,40.78558659,-102.36511961,1151,1.5,88.9,3
1530997999000,40.78558646,-102.36509995,1150.90002441406,1.5,89.3,3
1530998000000,40.78558636,-102.36508063,1151,1.5,90.1,3
1530998001000,40.78558654,-102.36506158,1151,1.5,90.7,3
1530998002000,40.78558637,-102.36504301,1151.09997558594,1.5,90.7,4
1530998003000,40.78558706,-102.36502405,1151,1.5,91.1,4
1530998004000,40.78558754,-102.36500566,1151.09997558594,1.5,90.8,4
1530998005000,40.78558758,-102.36498736,1151,1.5,91.3,3
1530998006000,40.78558767,-102.364969,1150.90002441406,1.5,91,3
1530998007000,40.78558752,-102.36495071,1151.09997558594,1.5,91.4,3
1530998008000,40.7855873,-102.36493222,1151.19995117188,1.5,91.4,3
1530998009000,40.78558701,-102.36491362,1151.40002441406,1.5,91,3
1530998010000,40.78558628,-102.36489526,1151.59997558594,1.5,91.6,3
1530998011000,40.78558554,-102.36487708,1151.5,1.5,92.2,3
1530998012000,40.78558462,-102.36485865,1151.59997558594,1.5,93.3,4
1530998013000,40.78558392,-102.36484055,1151.59997558594,1.5,93,3
1530998014000,40.78558345,-102.36482209,1151.69995117188,1.5,92.8,3
1530998015000,40.78558262,-102.36480366,1151.69995117188,1.5,92.5,3
1530998016000,40.78558178,-102.36478518,1151.40002441406,1.5,92.6,3
1530998017000,40.78558166,-102.3647667,1151.40002441406,1.5,91.8,3
1530998018000,40.78558185,-102.36474791,1151.40002441406,1.5,91.1,3
1530998019000,40.78558247,-102.36472888,1151.5,1.5,90.1,3
1530998020000,40.78558332,-102.36470978,1151.5,1.5,89.9,3
1530998021000,40.78558383,-102.36469103,1151.30004882812,1.5,89.8,3
1530998022000,40.78558412,-102.36467193,1151.30004882812,1.5,90,3
1530998023000,40.78558446,-102.36465233,1151.5,1.5,89.7,3
1530998024000,40.78558473,-102.36463265,1151.40002441406,1.5,89.6,3
1530998025000,40.78558488,-102.36461295,1151.30004882812,1.5,89.5,3
1530998026000,40.7855849,-102.36459342,1151.30004882812,1.5,89.7,3
1530998027000,40.78558499,-102.36457401,1151.19995117188,1.5,89.5,3
1530998028000,40.78558522,-102.36455471,1151.09997558594,1.5,88.9,3
1530998029000,40.78558551,-102.36453559,1151.19995117188,1.5,88.9,3
1530998030000,40.78558572,-102.36451657,1150.90002441406,1.5,89,3
